2021-09-10 14:33:01,944 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125002.8331
2021-09-10 14:33:01,944 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125800.2205
2021-09-10 14:33:01,945 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125415.9606
2021-09-10 14:33:01,945 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 126009.0795
2021-09-10 14:33:01,945 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125585.7536
2021-09-10 14:33:01,945 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 126205.9116
2021-09-10 14:33:01,946 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125819.1791
2021-09-10 14:33:01,946 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125699.2039
2021-09-10 14:33:01,946 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125806.5394
2021-09-10 14:33:01,946 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 125977.3897
2021-09-10 14:33:01,946 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - 126072.5068
2021-09-10 14:33:01,946 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125876.0892
